Date,Plant_ID,Product_ID,Product_Category,Units_Produced,Units_Defective,Machine_Downtime(hrs),Labor_Hours,Material_Cost(INR),Production_Cost(INR),Revenue(INR)
2024-01-02,PLANT_B,P013,Automotive,1939,37,1.63,272,73816,377954,468407
2024-01-02,PLANT_C,P007,Textile,804,131,0.35,187,51306,145619,227221
2024-01-02,PLANT_B,P009,Textile,926,125,0.37,194,69477,211585,361157
2024-01-04,PLANT_A,P013,Chemicals,1885,143,1.11,267,160317,365406,448059
2024-01-05,PLANT_A,P014,Textile,1760,96,1.7,53,194228,379518,476295
2024-01-06,PLANT_B,P019,Chemicals,509,108,3.16,124,151121,324137,372944
2024-01-09,PLANT_B,P019,Chemicals,1341,45,3.44,231,79084,306903,379635
2024-01-09,PLANT_C,P005,Electronics,1048,124,5.85,167,57812,111064,247269
2024-01-13,PLANT_A,P006,Automotive,565,12,6.44,258,183872,374370,516357
2024-01-14,PLANT_C,P010,Textile,615,139,4.16,281,143783,334473,414479
2024-01-15,PLANT_A,P010,Textile,977,123,5.32,208,176479,332892,422675
2024-01-15,PLANT_A,P012,Textile,1194,13,4.48,255,158946,269831,385015
2024-01-17,PLANT_C,P017,Chemicals,1386,49,3.21,186,135947,369045,480464
2024-01-18,PLANT_B,P009,Chemicals,1186,59,2.29,288,126709,199214,316351
2024-01-21,PLANT_C,P017,Electronics,1213,105,0.42,85,199865,274442,385898
2024-01-21,PLANT_A,P003,Textile,1459,145,7.25,274,55939,226270,280794
2024-01-22,PLANT_B,P003,Chemicals,1843,148,2.01,175,62867,332076,419460
2024-01-22,PLANT_B,P011,Textile,1143,18,7.87,57,162935,214091,360369
2024-01-27,PLANT_B,P004,Electronics,658,44,6.1,153,108671,132954,162297
2024-01-28,PLANT_C,P006,Automotive,769,140,3.75,170,83276,253939,303462
2024-01-28,PLANT_A,P005,Automotive,1304,19,1.14,130,69991,273311,297878
2024-01-29,PLANT_B,P007,Textile,1390,132,7.29,263,192228,202638,300601
2024-02-02,PLANT_B,P006,Automotive,1455,129,2.82,59,57415,345144,488946
2024-02-02,PLANT_A,P014,Chemicals,790,149,7.2,184,145667,336500,467523
